,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714]
1,105,9654.349413318774,[0.17702558 0.17276906 0.14845733 0.17870831 0.16716743 0.15587229],9654.349413318774,[0.17702558 0.17276906 0.14845733 0.17870831 0.16716743 0.15587229]
2,106,9780.447950899494,[0.16270659 0.16382608 0.16702769 0.162663   0.17081331 0.17296333],9280.82592063932,[ 0.21915058  0.98864652 -0.44711209  0.4270305   0.18060214 -0.36831765]
3,107,9942.098239863708,[0.16415647 0.16793446 0.15856975 0.16388218 0.17034254 0.17511461],8873.938476026495,[ 0.35605239 -0.23578197  0.28943558  1.12622564 -1.08934513  0.55341349]
4,108,9808.278994658493,[0.16301472 0.17176999 0.14098782 0.18123703 0.18019336 0.16279708],9763.97509592157,[-0.53763441 -0.08547647  0.1835048   0.41864385  1.43962775 -0.41866552]
5,109,9680.228355499139,[0.17416315 0.16817824 0.17094992 0.16348772 0.15923711 0.16398386],8980.95394463649,[-0.01828111 -0.08954973 -0.28583767  0.80339697  0.96613638 -0.37586484]
6,110,9768.566040428843,[0.16672273 0.16638858 0.16651226 0.16988414 0.17126954 0.15922274],8205.004711722593,[ 1.43369309 -0.28138088  0.05802911  0.83184211 -1.88371929  0.84153587]
7,111,9319.287433586076,[0.17734932 0.16654449 0.16324028 0.17182176 0.16456823 0.15647592],8420.470793855431,[ 1.05703888 -0.22544324 -0.02082631  1.03048082 -1.40796621  0.56671606]
8,112,9796.688741063781,[0.15954826 0.17127138 0.15659408 0.16506478 0.16365976 0.18386174],9508.832007024466,[ 1.05302291  0.9025761  -0.30899    -0.42595169 -0.94012696  0.71946963]
9,113,9967.276986940413,[0.16508216 0.16282217 0.16835592 0.16809056 0.16516461 0.17048458],9246.739395153527,[ 0.6291438  -0.19906046 -0.13129896  0.63763472  0.67216769 -0.60858679]
10,114,10071.268035740992,[0.16586071 0.1613014  0.18941886 0.15805249 0.16838195 0.15698458],8661.865514723451,[ 0.95816936 -0.20782093 -0.32140449 -0.34380037  0.17587553  0.73898089]
11,115,10175.429446487977,[0.17303724 0.1615773  0.16866847 0.15946815 0.16368897 0.17355987],8988.991822231765,[ 0.92115757  0.55704318 -0.13750502 -1.05590532  0.83284098 -0.11763138]
12,116,10173.87997839519,[0.17242039 0.16143033 0.16049377 0.17317094 0.16664761 0.16583696],8993.37153891621,[ 0.57884787  0.90806441 -0.24908977  0.77786207 -1.3591609   0.34347633]
13,117,10604.242701638106,[0.16373599 0.15570893 0.15680842 0.15880524 0.16604296 0.19889847],9382.639345923548,[ 1.62675014 -0.36398455  0.03152713  0.74056365 -1.35296418  0.31810781]
14,118,10865.145712612006,[0.15669866 0.17146282 0.17161972 0.1636897  0.165343   0.17118611],9555.388313026067,[-0.26771814  0.66386113 -0.15077607 -0.50989026  1.26765651 -0.00313317]
15,119,11006.521791165833,[0.16429857 0.16576975 0.1658013  0.16830531 0.16489898 0.17092609],9672.275684785014,[ 0.62349191 -0.18834794  0.13142947  0.54584776 -1.02994753  0.91752634]
16,120,11345.152739090092,[0.16418969 0.17107686 0.15989428 0.16330615 0.16604677 0.17548625],9980.178017527229,[ 0.61182529  0.43501474  0.2381628  -0.98518152  0.44815184  0.25202684]
17,121,11436.997360921256,[0.16188182 0.16590362 0.18433283 0.1646644  0.16220378 0.16101355],9483.624131514334,[ 0.27103556  1.16616458 -0.29450563  0.10860368 -0.74880431  0.49750612]
18,122,11493.142515363208,[0.16702134 0.17429949 0.18453296 0.1656681  0.16309441 0.1453837 ],8325.129254529886,[ 1.64536048 -0.4919925  -0.28514656  0.09893281 -0.60787273  0.64071851]
19,123,11402.986978951838,[0.16918027 0.17415247 0.16775177 0.16820313 0.16912881 0.15158355],7527.665778057381,[ 1.11142869 -0.91684283  0.29635881  0.10958438 -0.24010686  0.63957782]
20,124,11439.88020007741,[0.15807154 0.16028929 0.17921751 0.16739848 0.16153856 0.17348462],6576.404987062844,[ 1.24727141  0.27807433 -0.46497919  0.21177469  0.12044325 -0.3925845 ]
21,125,11929.065737268735,[0.16345576 0.16614376 0.16592463 0.15945388 0.16288445 0.18213752],7089.642398520677,[ 0.6234882  -0.51926677  0.08693622  0.19601839 -0.15358677  0.76641073]
22,126,12535.882101832163,[0.1601851  0.16494252 0.16629036 0.16624269 0.16405685 0.17828247],7510.582534239244,[ 0.5321762   0.36206427  0.12794956  1.06294155 -1.54112713  0.45599555]
23,127,12415.238162721289,[0.16662748 0.17124869 0.15033625 0.17393866 0.16761771 0.1702312 ],8025.8064263847045,[ 0.49316098  0.34482565 -0.16363394  1.31098101 -1.1525478   0.16721409]
24,128,12593.3445554267,[0.16438628 0.17133201 0.15775128 0.16750151 0.16301611 0.17601281],7536.380343618847,[-0.52433716 -0.55290215  0.09277548  0.7887689   1.39347965 -0.19778471]
25,129,12482.202619643649,[0.16595121 0.15980464 0.16448851 0.16253645 0.15741991 0.18979928],6930.607532588716,[ 0.83875788 -0.86593689 -0.10574274  0.34839476  1.02732482 -0.24279783]
26,130,12426.338041581117,[0.17387666 0.1708425  0.16565445 0.16664878 0.17885544 0.14412217],6611.848654548243,[ 0.45139014  0.60066673 -0.1919053  -0.60105897  0.26940395  0.47150346]
27,131,12534.335003245189,[0.15971999 0.16671464 0.16519166 0.16480648 0.17225524 0.17131198],6658.89722364402,[-0.25472197  0.17082863  0.47176467  0.28893778  0.27893875  0.04425213]
28,132,12377.62802758426,[0.16758702 0.17400101 0.16674416 0.17472489 0.16762324 0.14931968],6725.1209997401165,[ 0.29321697  0.06718577 -0.04921332 -0.31012081  1.34734778 -0.34841639]
29,133,12563.06509245931,[0.15622599 0.16505078 0.1686585  0.16603104 0.16789859 0.17613511],6451.290604825111,[ 0.08448001  0.95242903  0.04474639  0.76810745 -0.57997491 -0.26978796]
30,134,12355.287801213284,[0.17458304 0.16606299 0.16944797 0.16514558 0.17128573 0.15347469],6442.475827265726,[-0.30921344  0.75693315 -0.13164557  0.74962898  0.39750316 -0.46320627]
31,135,12481.974334093185,[0.16530021 0.16781764 0.16194503 0.17491385 0.16404853 0.16597474],6693.750466110494,[ 1.47562563  0.13844441 -0.20351304  0.76507214 -1.47174788  0.29611873]
32,136,12830.705645342201,[0.16616621 0.16718486 0.1649416  0.16886203 0.16390352 0.16894179],6837.093584075197,[ 1.13038043 -0.39182502 -0.20271211  0.78017427 -0.12373909 -0.19227848]
33,137,12738.20285364246,[0.16735228 0.17304854 0.17080246 0.16578002 0.1664637  0.156553  ],6622.785420571558,[ 1.16336937 -0.30999948 -0.10921159  1.29721162 -1.05331275  0.01194283]
34,138,13110.981815952255,[0.16304663 0.17375682 0.16995085 0.16598939 0.16399622 0.16326009],6513.435451810686,[ 1.19120633 -0.16694179 -0.24366138  0.58281175 -1.08479687  0.72138196]
35,139,13268.093145636678,[0.1595438  0.168844   0.16098534 0.16815423 0.16735434 0.1751183 ],6035.284506642304,[ 1.39098072 -1.0284386   0.39123876  0.45090239 -0.42408584  0.21940257]
36,140,13429.321777166282,[0.16421371 0.17633975 0.16278726 0.16656411 0.16319433 0.16690083],6442.7445139625725,[ 0.16843125  1.06568606 -0.28414381  0.1099305  -0.50685375  0.44694974]
37,141,13195.32845365694,[0.17205309 0.15971308 0.1745993  0.17141284 0.17064887 0.15157282],6285.979674983097,[ 1.06001542 -0.36858859  0.23523937  1.08057614 -1.41663334  0.40939101]
38,142,13390.808968712752,[0.16345413 0.17945248 0.16390385 0.16234523 0.15872573 0.17211858],6289.334678704257,[ 1.44893953 -0.52859568  0.07768131  0.94175842 -1.36869547  0.4289119 ]
39,143,13793.260879758393,[0.15858663 0.16221792 0.16449757 0.16598717 0.16807115 0.18063956],5986.960927534389,[-0.02149655  1.25148728 -0.08735306  0.11998246 -0.05274476 -0.20987536]
40,144,14053.300122628973,[0.16452399 0.16065023 0.17052852 0.17251234 0.16542805 0.16635687],6098.2968924706065,[0.01590114 0.10725341 0.53737921 0.12424097 0.14394738 0.07127788]
41,145,14516.790014560895,[0.15727346 0.16252753 0.1842211  0.16443542 0.1615147  0.17002779],5957.473672333412,[ 0.01586777  0.11060379  0.15484515  0.41987643  1.08442926 -0.7856224 ]
42,146,14275.763471041046,[0.16489372 0.17342573 0.17475918 0.16729263 0.16663667 0.15299207],6050.166030003651,[ 0.16335786  0.26038497  0.35069368 -0.33684659  0.76852534 -0.20611526]
43,147,14199.486098309984,[0.1646179  0.16949641 0.1675841  0.16446461 0.17053317 0.16330381],6084.585353074896,[ 0.08699222  0.2619416  -0.27774977  0.7150618   0.7778487  -0.56409455]
44,148,14336.235737005798,[0.16715434 0.16131952 0.17306427 0.16764912 0.17192079 0.15889196],5809.715516948911,[ 0.09226162  0.08195632 -0.15641251  0.76062012 -0.36759397  0.58916843]
45,149,14340.553653200132,[0.16871638 0.16917274 0.17178927 0.161115   0.16677687 0.16242973],5811.4653392296905,[0.16871638 0.16917274 0.17178927 0.161115   0.16677687 0.16242973]
