,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,105,9538.635770181985,[0.1761885  0.13292004 0.16468124 0.17368183 0.17470529 0.1778231 ],9094.405999656532,[-0.86809733  0.13941271  0.58695098  0.18216558  0.93347747  0.02609058],"[-1.11947026e-02 -2.55420546e-03  8.71044651e-03 -8.69472953e-05
  5.43553260e-03 -4.93388147e-03]"
2,106,9413.860588731293,[0.17285649 0.15232852 0.17140099 0.17021096 0.16998892 0.16321413],8933.860063030748,[-0.84514085  0.12805808  0.54734719  0.20929286  0.9568588   0.00358391],[-0.01174614 -0.00362551  0.0060276   0.00820508  0.00554446 -0.00651393]
3,107,9370.355459039902,[0.16623268 0.16979249 0.16706819 0.16792049 0.1667085  0.16227765],8956.164760815916,[-0.78536955  0.12955659  0.55193647  0.16411309  0.95047265 -0.01070926],[-0.01194203 -0.00778866  0.01376714 -0.00581457  0.00566144 -0.00877338]
4,108,9258.045136378945,[0.16742079 0.15862377 0.17326149 0.16822731 0.17000288 0.16246376],9151.378019474589,[-0.7564469   0.11923365  0.55483287  0.2052121   0.93749065 -0.06032236],[-0.01221698 -0.00849275  0.00612548  0.00762222  0.0056837  -0.01163   ]
5,109,9279.310839856746,[0.17379509 0.17060473 0.1448229  0.1784129  0.1610906  0.17127378],8026.863647228585,[-0.89113633  0.13948626  0.55098655  0.22970509  1.08918373 -0.1182253 ],[-0.01240116 -0.01202777  0.01167665 -0.00447905  0.00572952 -0.01512141]
6,110,9244.841001177556,[0.16865466 0.16802365 0.16657163 0.16198618 0.16629884 0.16846504],7845.415075432247,[-0.66277066  0.04193907  0.44143232  0.19315447  1.10808889 -0.12184409],[-0.01215015 -0.01450577  0.00854621  0.00086269  0.00548974 -0.01695633]
7,111,9271.885423485686,[0.16895543 0.17003645 0.167462   0.1566989  0.16406503 0.1727822 ],7551.93658555298,[-0.63598969 -0.00557157  0.44739923  0.1892215   1.13655488 -0.13161435],[-0.01177836 -0.01698167  0.00705031  0.00621343  0.00521299 -0.01792375]
8,112,9328.607371194168,[0.16489685 0.16529779 0.16846777 0.16391079 0.16707658 0.17035022],7650.811919650723,[-0.56171605 -0.02866637  0.40751321  0.18483471  1.13164834 -0.13361384],[-0.0112924  -0.01870568  0.0010885   0.00610823  0.00486468 -0.01690024]
9,113,9297.661274021875,[0.1668386  0.16154192 0.17049479 0.16898802 0.16846641 0.16367026],7841.810737973288,[-0.49959938 -0.08480124  0.4053944   0.18224866  1.12435623 -0.12759867],[-0.01078252 -0.02084759  0.00479202 -0.00449722  0.00460171 -0.01478243]
10,114,9366.779541116312,[0.16334781 0.15927089 0.16592396 0.16864448 0.17211247 0.17070039],8288.564328410772,[-0.43671039 -0.1243912   0.3847043   0.19420173  1.10676767 -0.12457212],[-0.01033958 -0.02240631 -0.00064419  0.00584558  0.00439429 -0.01349897]
11,115,9125.109241931654,[0.16439052 0.16705911 0.17359462 0.16723256 0.16714649 0.1605767 ],8297.896016848701,[-0.36866411 -0.2186628   0.38996302  0.21638457  1.0802241  -0.09924479],[-0.00996425 -0.02464863  0.00277301  0.00482824  0.00443049 -0.01118604]
12,116,9108.931165539663,[0.16614946 0.16490252 0.16577553 0.17175124 0.16380324 0.16761801],8189.543641557503,[-0.31786443 -0.29468788  0.39234591  0.22555449  1.08444147 -0.08978956],[-0.00985235 -0.02678364  0.00236573  0.00402243  0.00429826 -0.01110011]
13,117,9051.47794296343,[0.16735591 0.16780905 0.16401688 0.16013281 0.16469519 0.17599015],7852.634787344744,[-0.30993787 -0.33372463  0.37981684  0.22459786  1.11060812 -0.07136033],[-0.00975369 -0.02857746 -0.00210907  0.00522122  0.00404913 -0.0106398 ]
14,118,9147.958693690782,[0.16104233 0.16247383 0.1665885  0.16823056 0.17045476 0.17121002],8289.901944160065,[-0.2863376  -0.31148854  0.33650791  0.21706055  1.06776946 -0.02351178],[-0.00960116 -0.03037731  0.00494505  0.00599608  0.00370831 -0.00848546]
15,119,9093.694801796979,[0.17733762 0.16889139 0.16552018 0.15882226 0.17016616 0.15926238],8124.989687420584,[-0.27995338 -0.40431469  0.33898629  0.20981148  1.10582824  0.02964206],"[-9.59372988e-03 -3.17662847e-02  8.39121233e-05  5.38589258e-03
  3.56203510e-03 -5.29832055e-03]"
16,120,9031.913954589663,[0.16715789 0.16463513 0.17105614 0.1659364  0.16953798 0.16167646],8299.20168980835,[-0.15220188 -0.44320518  0.32200859  0.10833897  1.09396409  0.07109542],[-0.00911687 -0.03304575 -0.00200013 -0.00746501  0.00349947 -0.00414027]
17,121,8898.593411703634,[0.16151794 0.16709494 0.16317894 0.16599818 0.17006046 0.17214954],8336.86320014632,[-0.09597631 -0.48200454  0.29938713  0.09173542  1.0948801   0.09197819],[-0.00864709 -0.03406626 -0.002544   -0.00859357  0.00347788 -0.00418445]
18,122,8891.442831574886,[0.16468171 0.16795766 0.16347313 0.16914986 0.16762442 0.16711322],8327.050498658973,[-0.09487754 -0.50122828  0.29378765  0.10836439  1.10168609  0.09226769],[-0.00850594 -0.03480886  0.0029836   0.0056745   0.00347055 -0.00354563]
19,123,8826.754744581813,[0.16839561 0.16094546 0.1663731  0.1644344  0.16957107 0.17028037],8562.094504501503,[-0.08999435 -0.46733475  0.27827776  0.09484688  1.08223953  0.10196494],[-0.00842257 -0.03547563 -0.00057258 -0.00639295  0.00347396 -0.00282407]
20,124,8951.71762884349,[0.15780356 0.16831501 0.16283873 0.16656429 0.16384192 0.18063649],8531.039131810343,[ 0.05175214 -0.58765366  0.18796908  0.05516184  1.08297614  0.20979445],[-0.008273   -0.03667589 -0.0087172  -0.01251335  0.0035209  -0.00166638]
21,125,9139.319297087666,[0.16509048 0.1626399  0.15634107 0.17547053 0.16184372 0.1786143 ],8615.21706527187,[ 0.05183374 -0.56815841  0.16780122  0.05872258  1.06246269  0.22733818],[-0.00836587 -0.03638537 -0.00176463  0.00052151  0.00351952  0.00229814]
22,126,9250.310254950065,[0.16468608 0.16639461 0.17496665 0.16419756 0.16890611 0.16084899],8760.751882727287,[ 0.0544901  -0.56469925  0.07180539  0.04466289  1.07193283  0.32180804],[-0.00834619 -0.0373012  -0.01165757 -0.01215601  0.00345186  0.00829688]
23,127,9302.823078976613,[0.16065446 0.16931502 0.16542057 0.16419109 0.16644646 0.1739724 ],8824.229653866283,[ 0.05244818 -0.57283914  0.07116501  0.02553149  1.06896162  0.35473285],[-0.00824574 -0.03687576 -0.00694514 -0.010572    0.00352148  0.01228924]
24,128,9301.884579484973,[0.1703663  0.16138961 0.16835872 0.17031479 0.16820652 0.16136406],8992.566361086603,[ 0.05260874 -0.54125083  0.0705417   0.0534869   1.02759638  0.33701712],[-0.00833393 -0.03537611 -0.00543514  0.00256941  0.00358871  0.01674618]
25,129,9309.119392626342,[0.1671176  0.16869751 0.16355533 0.16776779 0.16719012 0.16567166],8937.496028689633,[ 0.05312302 -0.57698861  0.06971292  0.0542199   1.03250288  0.36742987],[-0.008213   -0.03554272 -0.00255466  0.00098315  0.00368809  0.01898061]
26,130,9384.7844343455,[0.16831476 0.16453998 0.16657254 0.1694749  0.16474342 0.1663544 ],8974.803500296232,[ 0.05386178 -0.56106091  0.06995076  0.05535283  1.01369494  0.3682006 ],[-0.00802378 -0.03489766 -0.00291917  0.00143789  0.00378246  0.02008438]
27,131,9507.804992149673,[0.16283379 0.16537582 0.16330978 0.16647385 0.16370026 0.1783065 ],9185.15088427599,[ 0.05209433 -0.55112131  0.0678531   0.04090511  0.985648    0.40462076],[-0.00766469 -0.03500667 -0.00570056 -0.00767423  0.00382323  0.02065175]
28,132,9496.23633346299,[0.17016311 0.16900325 0.16689909 0.16003122 0.1614308  0.17247252],8949.811676887308,[ 0.06770866 -0.57291152  0.04022758  0.04026499  0.97870891  0.44600138],[-0.00736041 -0.03456364 -0.0102101  -0.00551412  0.00380989  0.02309718]
29,133,9588.196077134598,[0.16426484 0.16934918 0.1668326  0.16908415 0.16256033 0.1679089 ],8763.384988862123,[ 0.07575593 -0.55896154 -0.00676526  0.04212702  0.98446073  0.46338311],[-0.00687847 -0.03400265 -0.01223179 -0.00163037  0.00358985  0.02542569]
30,134,9663.67427373973,[0.16962736 0.16479425 0.1645417  0.16987546 0.1693952  0.16176603],8920.645932303381,[ 0.07634369 -0.522215   -0.00661334  0.05883263  0.94831577  0.44533626],[-0.00641303 -0.03019889 -0.00892481  0.00377715  0.00328323  0.02692163]
31,135,10420.888190038562,[0.15859134 0.15856785 0.17837685 0.15178862 0.15613352 0.19654181],9996.871591724928,[ 0.06990965 -0.49060921 -0.00681152  0.05156346  0.85367439  0.52227323],[-0.00575419 -0.03041578 -0.00104777  0.0042413   0.00311372  0.02681342]
