,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,51,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,52,9910.671814012461,[0.16478816 0.17015215 0.17051612 0.16935995 0.16955405 0.15562957],10208.20844026296,[-0.40717656 -0.05527352  0.67677607  0.71488002  0.16461211 -0.09381813],[-0.00209758 -0.00902519  0.01322618  0.01397809  0.00445328 -0.01132023]
2,53,9894.697524238223,[0.16873238 0.16267978 0.16653119 0.16763493 0.16771058 0.16671115],10187.66995083993,[-0.49298116 -0.05397991  0.67658462  0.71941452  0.22297286 -0.07201092],[-0.00316902 -0.00872155  0.01368748  0.01499423  0.00565487 -0.014463  ]
3,54,9834.03337575744,[0.16550945 0.16426688 0.16821808 0.16853249 0.1685928  0.16488031],10357.77091457279,[-0.60736394 -0.05201026  0.66757749  0.71116395  0.34623026 -0.0655975 ],[-0.00359173 -0.00886647  0.01363785  0.01549252  0.00662962 -0.01595037]
4,55,9661.821932798037,[0.16177805 0.16816647 0.15874094 0.16875741 0.16972537 0.17283175],10214.420854060547,[-0.7221888  -0.05228569  0.63349764  0.71744225  0.49130892 -0.06777432],[-0.00437984 -0.00929412  0.01341202  0.01559596  0.00741762 -0.01770053]
5,56,9821.581948710045,[0.16631165 0.16850647 0.16262953 0.1666336  0.1648609  0.17105785],10083.651134486301,[-1.14941599 -0.05444083  0.63660458  0.73871154  0.90017706 -0.07163636],[-0.00677007 -0.00973793  0.01089592  0.01499548  0.00784455 -0.01573206]
6,57,9909.200739349484,[0.1627907  0.16832571 0.1637552  0.16953539 0.16584061 0.1697524 ],10422.681122162776,[-1.21695835 -0.05367215  0.6105745   0.73351511  0.9402627  -0.01372181],[-0.00806678 -0.00947871  0.00857066  0.01466519  0.00816748 -0.00862684]
7,58,10257.740765849347,[0.16288587 0.16316241 0.16214416 0.1722727  0.16563316 0.1739017 ],11184.20942454015,[-1.38581525 -0.05069215  0.57307512  0.73147098  1.0556024   0.0763589 ],[-0.00954111 -0.00875666  0.00633779  0.01492809  0.00833048  0.00013933]
8,59,10272.338622164067,[0.16857412 0.1654433  0.16095584 0.16690298 0.16486162 0.17326214],10816.3816902908,[-1.51275676 -0.22636465  0.48477879  0.83768766  1.11845237  0.29820258],[-0.00998848 -0.00773903  0.00458252  0.01731518  0.00929992  0.01505097]
9,60,10018.826227830936,[0.16466541 0.15046323 0.17764041 0.16728775 0.1720447  0.16789849],11583.934352876066,[-1.23286672 -0.18612368  0.29240842  0.7363121   1.05152946  0.33874042],[-0.00951261 -0.0068648   0.00206106  0.01862601  0.00941408  0.02926661]
10,61,10015.212730520212,[0.16875755 0.16461756 0.1650566  0.15952183 0.1675709  0.17447555],11318.263465823296,[-1.27740739 -0.18811692  0.20216761  0.72116085  1.10796349  0.43423237],[-0.01044179 -0.00850647  0.00100167  0.01820879  0.00947263  0.0335762 ]
11,62,10081.65252116409,[0.14659426 0.16842501 0.18081538 0.16186636 0.16381113 0.17848786],13003.248268372634,[-0.91125213 -0.16658355  0.11490076  0.60117449  0.95425957  0.40750087],[-0.01038514 -0.0100664  -0.00025189  0.0156724   0.00941855  0.03847364]
12,63,10029.828384309338,[0.16947864 0.16592221 0.16724335 0.16587638 0.17020106 0.16127836],12788.136157979287,[-0.75797366 -0.30079645 -0.05191171  0.60542891  1.0282499   0.47700301],[-0.01495035 -0.01100727  0.00173108  0.0122637   0.00867617  0.04640815]
13,64,10315.498413751384,[0.16844742 0.17752061 0.1686359  0.16603798 0.16485048 0.15450761],12138.478704933586,[-0.83011738 -0.35158021 -0.05691626  0.65356928  1.10207188  0.48297269],[-0.01803289 -0.01188725  0.00314492  0.00857308  0.00840943  0.04239143]
14,65,10298.021160305012,[0.16801951 0.16107859 0.16797527 0.1698412  0.16876269 0.16432275],12384.431058035692,[-0.78379924 -0.30034038 -0.05613686  0.60020386  1.09207584  0.44799678],[-0.01834004 -0.0106842   0.00547454  0.00605098  0.00857135  0.03256413]
15,66,10333.10068139065,[0.16164783 0.17666806 0.16599738 0.16577938 0.16603252 0.16387483],12324.380826181816,[-0.81100713 -0.3210298  -0.05040571  0.60200886  1.13625202  0.44418177],[-0.01775635 -0.01022421  0.00732531  0.00441386  0.00882521  0.02311145]
16,67,10278.048185297244,[0.16257889 0.15447529 0.17168909 0.15924733 0.1701242  0.1818852 ],13228.938369069132,[-0.7983599  -0.27575222  0.00535661  0.53307669  1.12662788  0.40905094],[-0.01796421 -0.00841877  0.00858768  0.00272426  0.00870771  0.01330822]
17,68,10247.375805209927,[0.16557712 0.16826197 0.168013   0.16639022 0.16804413 0.16371357],13267.598658630792,[-0.86481604 -0.27681769  0.04923275  0.52918356  1.25701515  0.30620227],[-0.01888524 -0.00837011  0.01011648 -0.00125351  0.0088986   0.01247152]
18,69,10225.145971965701,[0.16749412 0.16695914 0.17306245 0.17407848 0.16522913 0.15317668],13031.508685891484,[-0.92299275 -0.28172704  0.1106941   0.45035959  1.42024222  0.22342389],[-0.01946635 -0.00806835  0.01125092 -0.00492001  0.00894704  0.00808431]
19,70,10299.815520208223,[0.16648632 0.16158492 0.17019646 0.175571   0.1629317  0.1632296 ],12977.90551101075,[-0.95960582 -0.18391467  0.2551204   0.32062673  1.57022216 -0.00244879],[-0.01922402 -0.00768886  0.01291598 -0.00566561  0.00825724 -0.00610718]
20,71,10301.952625587306,[0.16553402 0.17115594 0.1616601  0.1617459  0.16896964 0.1709344 ],13031.45155526878,[-0.94948307 -0.02798081  0.29012105  0.2731105   1.58590388 -0.17167155],[-0.01816358 -0.00770388  0.0147404  -0.0029567   0.00682496 -0.01971886]
21,72,9912.394411795798,[0.15172945 0.17287367 0.18031463 0.16467929 0.1703014  0.16010156],14411.83548261206,[-0.75212308  0.02496816  0.27384579  0.22060516  1.41002526 -0.17732128],[-0.01700322 -0.00705967  0.01501919 -0.00257466  0.00594583 -0.02421579]
22,73,9978.485420436837,[0.16992364 0.16688826 0.16394129 0.1657031  0.16469272 0.168851  ],13912.05544461235,[-0.79985275  0.10859437  0.32363213  0.14490318  1.45334466 -0.23062158],[-0.02092801 -0.0064187   0.01600395 -0.00472855  0.00432539 -0.03718131]
23,74,10203.29638327721,[0.16746748 0.16995042 0.16476033 0.16672594 0.16855664 0.1625392 ],14459.388585394461,[-0.69371792  0.11938226  0.31477292  0.03471655  1.44613076 -0.22128458],[-0.02252947 -0.00558425  0.01616176 -0.00633677  0.00259163 -0.0395741 ]
24,75,9682.456344582894,[0.17563515 0.13481415 0.16478484 0.17343466 0.17643272 0.17489848],13776.62898898315,[-0.72815503  0.12011545  0.31122639  0.03598337  1.5248117  -0.26398189],[-0.02198682 -0.00389354  0.01620886 -0.00635407  0.00243181 -0.03829865]
25,76,9853.270092795346,[0.17121694 0.16440611 0.16598645 0.16824012 0.16426283 0.16588756],13415.355935395795,[-0.78199543  0.12386553  0.3348064   0.02804407  1.57104686 -0.27576743],[-0.02081267 -0.0073854   0.01422627 -0.00685273  0.00234463 -0.0351036 ]
26,77,9548.779819149071,[0.16870227 0.15503609 0.1742726  0.17095557 0.17262578 0.1584077 ],13886.325485186759,[-0.69013236  0.08869251  0.32778043 -0.00881989  1.52354377 -0.24106446],[-0.01723837 -0.01014465  0.01262408 -0.00574379  0.00226529 -0.02854688]
27,78,9456.41230035908,[0.16469308 0.16299754 0.17189385 0.16814354 0.16743872 0.16483327],14133.624089952415,[-0.66367864  0.08260898  0.37214179 -0.00865951  1.48957008 -0.2719827 ],[-0.01451605 -0.01427687  0.01133176 -0.00504634  0.00221946 -0.03188498]
28,79,9471.256960758807,[0.17786883 0.16692151 0.14351499 0.18108957 0.16170466 0.16890043],12062.552600568733,[-0.79290032  0.0284707   0.40747773 -0.01104247  1.69614409 -0.32814973],[-0.01260156 -0.01867121  0.01054404 -0.00441238  0.0018414  -0.03382311]
