,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,105,9654.349413318774,[0.17702558 0.17276906 0.14845733 0.17870831 0.16716743 0.15587229],11065.203082135415,[ 1.16004254  0.1507402  -0.19565436  0.15592235  0.14585298 -0.41690371],[ 0.00534307 -0.01063852 -0.01931187 -0.00421461 -0.00467523 -0.02273428]
2,106,9780.447950899494,[0.16270659 0.16382608 0.16702769 0.162663   0.17081331 0.17296333],10602.10531042846,[ 1.27986902  0.15670851 -0.15371918  0.16094504  0.15809475 -0.60189815],[ 0.00438874 -0.00536183 -0.00453091 -0.00793718 -0.00508077 -0.02206119]
3,107,9942.098239863708,[0.16415647 0.16793446 0.15856975 0.16388218 0.17034254 0.17511461],10311.81375647298,[ 1.57355773 -0.12710764 -0.01459853 -0.16174624  0.16889439 -0.43899972],[ 0.00480669 -0.01532466 -0.00382761 -0.01622238 -0.00521866 -0.02106469]
4,108,9808.278994658493,[0.16301472 0.17176999 0.14098782 0.18123703 0.18019336 0.16279708],9902.113061232725,[ 1.54513326 -0.13460162 -0.01268884 -0.18072262  0.18762269 -0.40474287],[ 0.00457571 -0.00701377 -0.00395103 -0.00686636 -0.00508656 -0.0165327 ]
5,109,9680.228355499139,[0.17416315 0.16817824 0.17094992 0.16348772 0.15923711 0.16398386],10458.58852319289,[ 1.58831761 -0.25321551 -0.01216561 -0.16570694  0.1675609  -0.32479045],[ 0.00494555 -0.01386464 -0.00992525 -0.00917555 -0.00452454 -0.01441257]
6,110,9768.566040428843,[0.16672273 0.16638858 0.16651226 0.16988414 0.17126954 0.15922274],10695.54148874374,[ 1.67671313 -0.24948148 -0.17093943 -0.16669324  0.16993284 -0.25953182],[ 0.00522283 -0.01160835 -0.01871026 -0.00339923 -0.00443062 -0.01252523]
7,111,9319.287433586076,[0.17734932 0.16654449 0.16324028 0.17182176 0.16456823 0.15647592],11442.75254961729,[ 1.59110159 -0.22231983 -0.18341575 -0.11770695  0.14963492 -0.21729398],[ 0.00518111 -0.01067189 -0.01969889 -0.00151238 -0.00411562 -0.01142899]
8,112,9796.688741063781,[0.15954826 0.17127138 0.15659408 0.16506478 0.16365976 0.18386174],10713.769235510916,[ 1.89419262 -0.64410198 -0.06960701 -0.13090651  0.16499836 -0.21457547],[ 0.00457128 -0.01759785 -0.00679464 -0.00677799 -0.00414204 -0.01253471]
9,113,9967.276986940413,[0.16508216 0.16282217 0.16835592 0.16809056 0.16516461 0.17048458],10803.748807278342,[ 1.78992385 -0.63500769 -0.0709565  -0.13323409  0.16500892 -0.11573449],[ 0.00514405 -0.00907265 -0.01245133 -0.00641984 -0.00398109 -0.01056578]
10,114,10071.268035740992,[0.16586071 0.1613014  0.18941886 0.15805249 0.16838195 0.15698458],11052.589038913558,[ 1.76260677 -0.83678911 -0.06062987 -0.12480044  0.16466543  0.09494722],[ 0.00476613 -0.01966769 -0.00762605 -0.00423909 -0.0038028  -0.00667999]
11,115,10175.429446487977,[0.17303724 0.1615773  0.16866847 0.15946815 0.16368897 0.17355987],12277.008831731117,[ 1.69846806 -0.73806355 -0.08885693 -0.10863943  0.1471361   0.08995575],[ 0.00513271 -0.00882722 -0.01290442 -0.00149711 -0.00350212 -0.00497321]
12,116,10173.87997839519,[0.17242039 0.16143033 0.16049377 0.17317094 0.16664761 0.16583696],13332.11709361019,[ 1.70319631 -0.65829987 -0.15885106 -0.10394589  0.13547625  0.08242427],[ 0.00542239 -0.00833123 -0.0117744  -0.0015421  -0.0032842  -0.00197001]
13,117,10604.242701638106,[0.16373599 0.15570893 0.15680842 0.15880524 0.16604296 0.19889847],14521.317882876303,[ 1.65417889 -0.58861027 -0.19409293 -0.09479004  0.12917372  0.09414063],[ 0.00557682 -0.0004533  -0.0059678  -0.00292799 -0.00305816  0.00056573]
14,118,10865.145712612006,[0.15669866 0.17146282 0.17161972 0.1636897  0.165343   0.17118611],13136.558281108331,[ 1.76205261 -0.68607077 -0.33855153 -0.10547637  0.04179811  0.32624794],[ 0.00642697 -0.00918847 -0.02073501  0.00066955 -0.00264888  0.00792318]
15,119,11006.521791165833,[0.16429857 0.16576975 0.1658013  0.16830531 0.16489898 0.17092609],13217.821598339517,[ 1.74904966 -0.6871059  -0.12712698 -0.10725127 -0.43259528  0.60502976],[ 0.00645138 -0.00928667 -0.00500611 -0.001223   -0.00218785  0.0148085 ]
16,120,11345.152739090092,[0.16418969 0.17107686 0.15989428 0.16330615 0.16604677 0.17548625],13668.987084377763,[ 1.71754707 -0.60268046 -0.10686801 -0.10475279 -0.65469496  0.75144915],"[ 6.94370469e-03 -2.13688380e-03 -4.42190494e-03  7.97566735e-05
 -1.73051416e-03  2.11219927e-02]"
17,121,11436.997360921256,[0.16188182 0.16590362 0.18433283 0.1646644  0.16220378 0.16101355],12903.181995111509,[ 1.78179003 -0.45047945 -0.12624094 -0.1105389  -0.95376413  0.85923338],[ 0.00711409  0.00152057 -0.00299873  0.00098114 -0.00116279  0.02751232]
18,122,11493.142515363208,[0.16702134 0.17429949 0.18453296 0.1656681  0.16309441 0.1453837 ],11528.277283366959,[ 1.9086132  -0.46031657 -0.10389479 -0.12360638 -1.049946    0.82915054],[ 0.00701825 -0.00781876 -0.01295022  0.00192227 -0.00071888  0.03140507]
19,123,11402.986978951838,[0.16918027 0.17415247 0.16775177 0.16820313 0.16912881 0.15158355],10500.416386892332,[ 1.96687425 -0.3913112  -0.10041907 -0.13591777 -1.16087599  0.82164978],[ 0.0071244  -0.00297626 -0.0065877   0.00203499 -0.00038179  0.0312582 ]
